"true_img","subject_id","label","N","plot"
"1485","4","jumpin",1,TRUE
"15","4","prayin",1,TRUE
"45","4","prayin",1,TRUE
"105","4","prayin",1,TRUE
"135","4","prayin",1,TRUE
"645","4","prayin",1,TRUE
"735","4","prayin",1,TRUE
"765","4","prayin",1,TRUE
"75","4","flat",1,TRUE
"165","4","flat",1,TRUE
"195","4","flat",1,TRUE
"225","4","flat",1,TRUE
"255","4","flat",1,TRUE
"285","4","flat",1,TRUE
"315","4","flat",1,TRUE
"345","4","flat",1,TRUE
"375","4","flat",1,TRUE
"405","4","flat",1,TRUE
"435","4","flat",1,TRUE
"465","4","flat",1,TRUE
"495","4","flat",1,TRUE
"525","4","flat",1,TRUE
"555","4","flat",1,TRUE
"585","4","flat",1,TRUE
"615","4","flat",1,TRUE
"15","5","gypsy",1,TRUE
"45","5","gypsy",1,TRUE
"75","5","gypsy",1,TRUE
"105","5","gypsy",1,TRUE
"135","5","gypsy",1,TRUE
"615","5","gypsy",1,TRUE
"645","5","gypsy",1,TRUE
"675","5","gypsy",1,TRUE
"705","5","gypsy",1,TRUE
"735","5","gypsy",1,TRUE
"765","5","gypsy",1,TRUE
"795","5","gypsy",1,TRUE
"825","5","gypsy",1,TRUE
"855","5","gypsy",1,TRUE
"885","5","gypsy",1,TRUE
"915","5","gypsy",1,TRUE
"945","5","gypsy",1,TRUE
"975","5","gypsy",1,TRUE
"1005","5","gypsy",1,TRUE
"1275","5","gypsy",1,TRUE
"1305","5","gypsy",1,TRUE
"1335","5","gypsy",1,TRUE
"1365","5","gypsy",1,TRUE
"1395","5","gypsy",1,TRUE
"1425","5","gypsy",1,TRUE
"1455","5","gypsy",1,TRUE
"1485","5","gypsy",1,TRUE
"165","5","daisy",1,TRUE
"195","5","daisy",1,TRUE
"225","5","daisy",1,TRUE
"255","5","daisy",1,TRUE
"285","5","daisy",1,TRUE
"315","5","daisy",1,TRUE
"345","5","daisy",1,TRUE
"375","5","daisy",1,TRUE
"405","5","daisy",1,TRUE
"435","5","daisy",1,TRUE
"465","5","daisy",1,TRUE
"495","5","daisy",1,TRUE
"525","5","daisy",1,TRUE
"555","5","daisy",1,TRUE
"585","5","daisy",1,TRUE
"1035","5","duke",1,TRUE
"1065","5","duke",1,TRUE
"1095","5","duke",1,TRUE
"1125","5","duke",1,TRUE
"1155","5","duke",1,TRUE
"1185","5","duke",1,TRUE
"1215","5","duke",1,TRUE
"1245","5","duke",1,TRUE
"255","6","fly",1,FALSE
"285","6","fly",1,FALSE
"315","6","fly",1,FALSE
"345","6","fly",1,FALSE
"375","6","fly",1,FALSE
"405","6","fly",1,FALSE
"435","6","fly",1,FALSE
"465","6","fly",1,FALSE
"495","6","fly",1,FALSE
"15","6","body",1,FALSE
"45","6","body",1,FALSE
"75","6","body",1,FALSE
"135","6","body",1,FALSE
"1035","6","whale",1,FALSE
"1065","6","whale",1,FALSE
"1095","6","whale",1,FALSE
"1125","6","whale",1,FALSE
"105","6","lotus",1,FALSE
"165","6","lotus",1,FALSE
"195","6","lotus",1,FALSE
"225","6","lotus",1,FALSE
"525","6","lotus",1,FALSE
"555","6","lotus",1,FALSE
"1005","6","tall",1,FALSE
"1155","6","tall",1,FALSE
"1185","6","tall",1,FALSE
"1215","6","tall",1,FALSE
"1245","6","tall",1,FALSE
"1275","6","tall",1,FALSE
"1425","6","x + o",1,FALSE
"1455","6","x + o",1,FALSE
"1485","6","x + o",1,FALSE
"585","6","x",1,FALSE
